episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish
182,1,-1.5361,-2.1729,0.237,260,724,0.404,75,0.00,5482,234.77,0,0
183,1,-3.1286,-2.1362,0.249,388,1013,0.402,80,0.00,5521,354.78,0,0
184,1,0.0826,-2.0582,0.302,290,785,0.400,75,0.00,5550,260.78,0,0
185,1,-3.6550,-2.0666,0.260,316,865,0.398,75,0.00,5582,284.83,0,0
186,1,0.2711,-1.9581,0.292,300,816,0.396,75,0.00,5612,278.01,0,0
187,1,-1.9054,-1.9281,0.225,397,1068,0.394,80,0.00,5652,344.66,0,0
188,1,0.1257,-1.9171,0.258,821,2127,0.392,95,0.00,5735,767.41,0,0
189,1,-3.3280,-1.8820,0.321,130,337,0.390,50,0.00,5748,117.99,0,0
190,1,-3.6878,-1.8841,0.270,1159,2935,0.388,95,0.00,5864,1030.66,0,0
191,1,4.2457,-1.6738,0.265,821,2133,0.386,95,0.00,5947,737.01,0,0
192,1,-5.1835,-1.7769,0.240,1025,2604,0.384,95,0.00,6050,901.52,0,0
193,1,-1.6806,-1.7715,0.263,790,2087,0.382,95,0.00,6129,700.43,0,0
194,1,-3.2597,-1.8527,0.244,414,1057,0.380,80,0.00,6171,391.28,0,0
195,1,0.4561,-1.7144,0.264,804,2128,0.378,95,0.00,6252,718.21,0,0
196,1,-5.0199,-1.7135,0.251,295,780,0.376,70,0.00,6282,274.82,0,0
197,1,-3.1733,-1.6832,0.226,768,2039,0.374,95,0.00,6359,695.43,0,0
198,1,-0.8953,-1.6166,0.236,726,1917,0.373,95,0.00,6432,657.57,0,0
199,1,-0.6362,-1.7051,0.221,360,947,0.371,80,0.00,6468,353.02,0,0
200,1,1.7210,-1.6641,0.185,307,847,0.369,75,0.00,6499,277.13,0,0
201,1,-0.2930,-1.7222,0.261,465,1342,0.367,90,0.00,6546,423.35,0,0
202,1,-4.3706,-1.7241,0.286,287,772,0.365,70,0.00,6575,247.78,0,0
203,1,-1.9787,-1.7423,0.248,203,576,0.363,65,0.00,6596,202.96,0,0
204,1,-0.2577,-1.6527,0.191,657,1766,0.361,95,0.00,6662,604.73,0,0
205,1,-5.0978,-1.7670,0.210,222,616,0.360,65,0.00,6685,202.91,0,0
206,1,2.3789,-1.6026,0.251,738,1963,0.358,95,0.00,6759,657.17,0,0
207,1,-0.4580,-1.6088,0.243,419,1138,0.356,85,0.00,6801,417.89,0,0
208,1,-3.0132,-1.5762,0.303,741,1962,0.354,95,0.00,6876,674.63,0,0
209,1,0.1269,-1.5246,0.311,326,880,0.353,75,0.00,6909,295.14,0,0
210,1,-1.9148,-1.5881,0.278,478,1277,0.351,85,0.00,6957,422.87,0,0
211,1,0.9197,-1.6028,0.281,312,850,0.349,75,0.00,6989,292.87,0,0
212,1,-2.1841,-1.6015,0.262,298,809,0.347,75,0.00,7019,271.45,0,0
213,1,1.5028,-1.5765,0.226,348,911,0.346,75,0.00,7054,316.77,0,0
214,1,0.4855,-1.4859,0.316,319,869,0.344,75,0.00,7086,296.53,0,0
215,1,-3.0083,-1.4874,0.287,251,710,0.342,70,0.00,7112,231.12,0,0
216,1,-3.9352,-1.5966,0.324,391,1006,0.340,80,0.00,7152,353.40,0,0
217,1,-1.7854,-1.5574,0.236,636,1710,0.339,95,0.00,7216,568.71,0,0
218,1,1.9172,-1.5123,0.272,257,716,0.337,75,0.00,7242,237.86,0,0
219,1,1.2614,-1.4307,0.280,410,1156,0.335,85,0.00,7283,366.91,0,0
220,1,-3.5965,-1.4374,0.286,694,1871,0.334,95,0.00,7353,621.24,0,0
221,1,0.5710,-1.3869,0.304,322,860,0.332,75,0.00,7386,294.95,0,0
222,1,-3.6329,-1.3861,0.331,233,660,0.330,70,0.00,7410,219.50,0,0
223,1,0.7213,-1.4001,0.236,359,971,0.329,80,0.00,7446,336.15,0,0
224,1,-0.3616,-1.4131,0.294,238,643,0.327,70,0.00,7470,218.26,0,0
225,1,12.9970,-1.1625,0.257,878,2355,0.325,100,0.44,7558,784.62,1,1
226,1,0.8581,-1.1142,0.250,225,631,0.324,70,0.44,7581,209.58,0,0
227,1,-6.0641,-1.1907,0.373,105,261,0.322,40,0.44,7592,99.10,0,0
228,1,3.0089,-1.0620,0.288,766,2032,0.321,95,0.44,7669,683.36,0,0
229,1,-6.2880,-1.1710,0.312,229,600,0.319,65,0.44,7692,206.12,0,0
230,1,-0.2669,-1.1157,0.249,372,1013,0.317,80,0.43,7730,357.53,0,0
231,1,1.2803,-1.0133,0.336,333,904,0.316,80,0.43,7764,299.07,0,0
232,1,-2.1846,-1.0263,0.290,223,638,0.314,70,0.43,7787,208.13,0,0
233,1,-1.8721,-1.0011,0.368,385,984,0.313,75,0.43,7826,357.39,0,0
234,1,0.2769,-0.9972,0.315,621,1678,0.311,95,0.43,7889,566.65,0,0
235,1,-1.4894,-0.9539,0.322,612,1668,0.309,95,0.43,7951,554.81,0,0
236,1,-1.8517,-0.9964,0.315,286,761,0.308,70,0.42,7980,261.36,0,0
237,1,-0.3327,-0.9649,0.346,686,1800,0.306,95,0.42,8049,596.73,0,0
238,1,0.4802,-0.9578,0.231,239,682,0.305,70,0.42,8073,227.70,0,0
