episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish
292,2,1.7780,2.4278,0.322,291,766,0.233,50,1.37,10206,533.21,0,0
293,2,4.1963,2.4673,0.325,550,1502,0.231,70,1.37,10261,928.19,0,0
294,2,5.6920,2.4992,0.307,625,1662,0.230,75,1.36,10324,1075.77,0,0
295,2,4.5380,2.5985,0.243,452,1214,0.229,65,1.36,10370,801.40,0,0
296,2,3.8748,2.5887,0.263,648,1844,0.228,80,1.35,10435,1117.19,0,0
297,2,-3.6036,2.1551,0.291,731,1956,0.227,80,1.35,10509,1322.39,0,0
298,2,6.9935,1.9428,0.361,848,2390,0.226,85,1.34,10594,1465.33,0,0
299,2,2.5902,1.9692,0.345,454,1260,0.225,70,1.34,10640,805.04,0,0
300,2,3.2848,2.0667,0.298,427,1119,0.223,60,1.33,10683,768.43,0,0
301,2,1.6180,2.0621,0.278,299,791,0.222,55,1.33,10713,544.57,0,0
302,2,3.9678,2.0468,0.283,328,872,0.221,55,1.32,10746,601.08,0,0
303,2,1.6298,2.0561,0.332,569,1585,0.220,75,1.32,10803,1017.40,0,0
304,2,0.5268,2.0308,0.265,518,1441,0.219,70,1.32,10855,888.73,0,0
305,2,-5.2709,1.8978,0.323,722,1931,0.218,80,1.31,10928,1219.39,0,0
306,2,0.2721,1.9151,0.293,506,1409,0.217,70,1.31,10979,861.72,0,0
